pbin,contracts,cost,pnl,avg_no,win_share
"[0, 15)",73.24,9.090300000000003,-7.5903,12.411660294920809,0.020480611687602405
"[15, 25)",236.32999999999998,47.222300000000004,-15.5023,19.98150890703677,0.13421910041044302
"[25, 35)",747.53,225.99290000000002,-59.5529,30.231950557168275,0.2226532714406111
"[35, 45)",1827.3999999999999,730.5769,-159.00689999999997,39.979035788552046,0.31277771697493706
"[45, 51)",1530.23,731.3999000000001,-88.4699,47.79672990334787,0.42015252609084913
