ticker,date,strike_type,band_lo,band_hi,low,result
KXLOWTSEA-26JUL22-B65.5,2026-07-22,between,65.0,66.0,64.0,yes
KXLOWTSEA-26JUL22-B63.5,2026-07-22,between,63.0,64.0,64.0,no
