market_ticker,hi_no_config,fair_no_cents,effective_hi_no,ab_arm,safety_margin
KXHIGHTSATX-26MAY26-B87.5,55.0,76.0,55.0,control,3
KXHIGHDEN-26MAY25-T87,65.65,98.0,65.65,treatment,3
KXHIGHNY-26MAY25-B72.5,46.0,67.0,46.0,treatment,3
KXHIGHPHIL-26MAY25-B72.5,52.0,79.0,52.0,treatment,3
KXHIGHPHIL-26MAY25-B74.5,52.0,44.0,40.99999999999999,treatment,3
KXHIGHTATL-26MAY25-T85,83.96000000000001,100.0,83.96000000000001,treatment,3
KXHIGHTPHX-26MAY25-B99.5,55.0,69.0,55.0,treatment,3
KXHIGHTPHX-26MAY25-T102,80.84,100.0,80.84,control,3
KXHIGHTSATX-26MAY25-B87.5,55.0,68.0,55.0,control,3
KXHIGHTNOLA-26MAY25-B80.5,55.0,76.0,55.0,treatment,3
KXHIGHTBOS-26MAY25-B68.5,50.0,76.0,50.0,control,3
KXHIGHTBOS-26MAY25-B70.5,50.0,64.0,50.0,treatment,3
KXHIGHAUS-26MAY22-B87.5,63.0,40.0,63.0,control,3
KXHIGHMIA-26MAY22-B87.5,43.0,70.0,43.0,treatment,3
KXHIGHTHOU-26MAY22-B85.5,59.0,70.0,59.0,treatment,3
KXHIGHNY-26MAY22-B65.5,46.0,40.0,46.0,control,3
KXHIGHNY-26MAY22-T70,82.3,100.0,82.3,treatment,3
KXHIGHPHIL-26MAY22-T69,85.0,100.0,85.0,control,3
