variation,Atlanta,Austin,Boston,Chicago,Dallas,Denver,Houston,Las Vegas,Los Angeles,Miami,Minneapolis,New Orleans,New York City,Oklahoma City,Philadelphia,Phoenix,San Antonio,San Francisco,Seattle,Washington DC
5,0.0,0.047058823529411764,0.04597701149425287,0.023529411764705882,0.03529411764705882,0.0,0.011764705882352941,0.0,0.0,0.03571428571428571,0.023529411764705882,0.03529411764705882,0.058823529411764705,0.023529411764705882,0.03529411764705882,0.011764705882352941,0.011764705882352941,0.0,0.011764705882352941,0.0
4,0.09411764705882353,0.047058823529411764,0.04597701149425287,0.023529411764705882,0.10588235294117647,0.023529411764705882,0.0,0.0,0.0,0.14285714285714285,0.047058823529411764,0.011764705882352941,0.11764705882352941,0.047058823529411764,0.09411764705882353,0.011764705882352941,0.07058823529411765,0.0,0.058823529411764705,0.024390243902439025
3,0.3176470588235294,0.36470588235294116,0.13793103448275862,0.07058823529411765,0.29411764705882354,0.10588235294117647,0.023529411764705882,0.023529411764705882,0.011764705882352941,0.2857142857142857,0.1411764705882353,0.11764705882352941,0.15294117647058825,0.08235294117647059,0.21176470588235294,0.12941176470588237,0.18823529411764706,0.023529411764705882,0.2235294117647059,0.012195121951219513
2,0.32941176470588235,0.27058823529411763,0.26436781609195403,0.23529411764705882,0.35294117647058826,0.15294117647058825,0.2,0.12941176470588237,0.07058823529411765,0.40476190476190477,0.3176470588235294,0.27058823529411763,0.25882352941176473,0.17647058823529413,0.3058823529411765,0.4117647058823529,0.35294117647058826,0.10588235294117647,0.3176470588235294,0.0975609756097561
1,0.21176470588235294,0.17647058823529413,0.21839080459770116,0.32941176470588235,0.1411764705882353,0.3058823529411765,0.4235294117647059,0.5294117647058824,0.08235294117647059,0.07142857142857142,0.25882352941176473,0.3411764705882353,0.17647058823529413,0.3764705882352941,0.21176470588235294,0.3058823529411765,0.25882352941176473,0.35294117647058826,0.23529411764705882,0.2804878048780488
0,0.023529411764705882,0.047058823529411764,0.1839080459770115,0.23529411764705882,0.011764705882352941,0.2235294117647059,0.23529411764705882,0.25882352941176473,0.16470588235294117,0.047619047619047616,0.12941176470588237,0.15294117647058825,0.1411764705882353,0.1411764705882353,0.047058823529411764,0.12941176470588237,0.058823529411764705,0.25882352941176473,0.11764705882352941,0.21951219512195122
-1,0.023529411764705882,0.03529411764705882,0.08045977011494253,0.047058823529411764,0.011764705882352941,0.047058823529411764,0.08235294117647059,0.058823529411764705,0.15294117647058825,0.0,0.023529411764705882,0.047058823529411764,0.058823529411764705,0.09411764705882353,0.03529411764705882,0.0,0.047058823529411764,0.11764705882352941,0.023529411764705882,0.18292682926829268
-2,0.0,0.0,0.0,0.03529411764705882,0.03529411764705882,0.047058823529411764,0.023529411764705882,0.0,0.09411764705882353,0.011904761904761904,0.0,0.0,0.0,0.023529411764705882,0.023529411764705882,0.0,0.0,0.10588235294117647,0.0,0.13414634146341464
-3,0.0,0.0,0.011494252873563218,0.0,0.011764705882352941,0.023529411764705882,0.0,0.0,0.12941176470588237,0.0,0.023529411764705882,0.011764705882352941,0.023529411764705882,0.023529411764705882,0.011764705882352941,0.0,0.0,0.023529411764705882,0.0,0.024390243902439025
-4,0.0,0.0,0.011494252873563218,0.0,0.0,0.023529411764705882,0.0,0.0,0.09411764705882353,0.0,0.03529411764705882,0.0,0.0,0.0,0.011764705882352941,0.0,0.0,0.011764705882352941,0.011764705882352941,0.012195121951219513
-5,0.0,0.011764705882352941,0.0,0.0,0.0,0.047058823529411764,0.0,0.0,0.2,0.0,0.0,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.0,0.011764705882352941,0.0,0.0,0.012195121951219513
